"","year","Quarter","Total_cases_Number","Bx1","Bx2","Bx3"
"1",2008,1,"115,879",6.56524772078425,9.02456169883621,1.16065761696895
"2",2008,2,"117054",2.21260915349453,6.86914999417809,7.97504001600237
"3",2008,3,"118749",3.50169075077567,8.02134148081714,5.81723772518274
"4",2008,4,"101757",6.68051083413113,4.32953708890004,5.61671536274967
"5",2009,1,"100733",1.10624535762928,10.1785453058082,5.78306813912136
"6",2009,2,"95137",9.15660710857608,5.60614310753456,2.40377820605098
"7",2009,3,"98404",5.75463140627651,8.19396222712593,6.69991727835266
"8",2009,4,"91761",9.2370461216226,5.67907825446333,3.36404239333473
"9",2010,1,"97612",3.33267025980697,8.99572655410937,4.52322627010917
"10",2010,2,"91697",0,9.91857490138493,7.57037839263183
"11",2010,3,"95863",5.99818410113716,7.85676020009757,4.55239382176114
"12",2010,4,"86762",7.9446419096384,5.71797592181933,4.67689130510776
"13",2011,1,"92486",6.91205385977765,8.06227500933066,3.45530061633561
"14",2011,2,"84720",5.77537109870191,4.62629112403853,7.22405777156071
"15",2011,3,"90665",3.40582805882754,6.7482341715857,9.7327454919442
"16",2011,4,"79813",5.82457776145219,4.31655779649176,7.92570823922001
"17",2012,1,"83667",6.76484252207879,2.35594080539739,8.21258134705091
"18",2012,2,"78008",6.89046278980958,7.89266156752441,4.77039920822481
"19",2012,3,"82787",7.11940952370284,4.69536161350394,5.80037826311915
"20",2012,4,"72894",5.71343474626017,3.27620961577587,8.05102989319944
"21",2013,1,"76978",7.00735473894435,6.92536081510892,4.6913891627486
"22",2013,2,"67903",3.45328755894104,8.10917846204067,7.00156403216132
"23",2013,3,"77320",3.45328755894104,8.10917846204067,7.00156403216132
"24",2013,4,"76766",8.05743909256355,2.39168823301662,7.06134256033258
"25",2014,1,"84621",8.09098363523568,3.49712489476333,6.98987918339509
"26",2014,2,"75810",3.39100441050884,6.78515516240926,7.31648583452365
"27",2014,3,"75293",8.09098363523568,3.49712489476333,6.98987918339509
"28",2014,4,"70576",5.87751024877431,1.18909598583931,10.3372321899941
"29",2015,1,"77602",3.1199352713439,7.07092463521965,7.20730622838945
"30",2015,2,"73116",4.78360650168203,4.59040322503785,7.94560545537406
"31",2015,3,"74880",4.77700564128494,6.0534593565641,6.96826365191849
"32",2015,4,"72152",2.2649297395966,4.52269367490482,10.3573661350371
