"","year","Quarter","Total_cases_Number","log_box_office","score.s","Bscore.s"
"1",2008,1,"115,879",16.7504670365894,-0.243407041971234,-4.07718163301289
"2",2008,2,"117054",17.056799163675,-0.0310475453375952,-0.529571745348455
"3",2008,3,"118749",17.3402699567755,0.0772141588285733,1.3389143585728
"4",2008,4,"101757",16.6267632857809,-0.351668746137402,-5.84711299703395
"5",2009,1,"100733",17.0678588025588,0.166738260350598,2.84586508464829
"6",2009,2,"95137",17.1665284221616,-0.337095055191957,-5.78675184592286
"7",2009,3,"98404",17.2142814052507,-0.0185558102414989,-0.319424939199595
"8",2009,4,"91761",16.9543461475578,0.154246525254501,2.61514898122283
"9",2010,1,"97612",16.8516230840255,-0.0331295011869445,-0.558285866964164
"10",2010,2,"91697",17.4889532940168,-0.201024369323764,-3.51570580606248
"11",2010,3,"95863",17.2407921577666,-0.0331295011869445,-0.571178844254592
"12",2010,4,"86762",17.1916011580484,-0.262144644615378,-4.50668617594591
"13",2011,1,"92486",17.2381226490233,-0.105997955914174,-1.82720576459429
"14",2011,2,"84720",17.6257199943011,-0.0726866623245832,-1.28115475745342
"15",2011,3,"90665",17.6611149896621,0.22919693583108,4.0478734389909
"16",2011,4,"79813",16.9785914556854,0.216705200734983,3.67934906960156
"17",2012,1,"83667",17.3333646745271,-0.337095055191957,-5.84299152162202
"18",2012,2,"78008",17.3226695392877,-0.224669439327089,-3.89187445304022
"19",2012,3,"82787",17.6151494003259,-0.0102279868441012,-0.18016751632341
"20",2012,4,"72894",17.0406742552355,-0.0851783974206796,-1.45149732402879
"21",2013,1,"76978",17.505272231796,0.0168374391974409,0.294743956837516
"22",2013,2,"67903",17.4375796595913,0.229196935831079,3.99663982628869
"23",2013,3,"77320",17.4375796595913,0.229196935831079,3.99663982628869
"24",2013,4,"76766",17.5104698859128,0.491523372849104,8.6068052184965
"25",2014,1,"84621",17.3789425969271,-0.0123099426934507,-0.213933787440942
"26",2014,2,"75810",17.4926454074417,-0.178866410641402,-3.12884669665192
"27",2014,3,"75293",17.3789425969271,-0.0123099426934507,-0.213933787440942
"28",2014,4,"70576",17.4038384246078,0.166738260350598,2.90188574234198
"29",2015,1,"77602",17.398166134953,-0.0854233334029561,-1.48620934634611
"30",2015,2,"73116",17.3196151820939,0.229196935831079,3.96960272950937
"31",2015,3,"74880",17.7987286497675,0.220869112433682,3.9311893993221
"32",2015,4,"72152",17.1449895495385,0.206295421488236,3.53693284553345
